Title,Rating,Rating Number,Review,Price,Store,Categories,Processor,Hard Drive,Graphics Coprocessor,Operating System,Item Weight,Product Dimensions,Color,Number of Processors,Memory Storage Capacity,Screen Size,RAM Memory Installed Size,CPU Model
"Intel NUC 11 NUC11PAHi5 0GB DDR4 RAM,0GB SSD,Core i5-1135G7 Processor 8M Cache, up to 4.20 GHz Mini Desktop Computers, Thunderbolt 3/Support 8K/WiFi 6/4K Quad Display/Bluetooth 5,Barebone",4.6,39,"【11th Gen Intel Core i5-1135G7 CPU, XS Size. XL Performance Mini PC】 With their boundary-breaking performance, modern design, and cutting-edge features, Intel NUC 11 Performance Mini PC usher in the new age of small-compute innovation. Small enough to take with you and attractive enough to feature in any home or office, Intel NUC 11 Performance Mini PC feature a range of 11th Gen Intel Core i5-1135G7 (8M Cache, up to 4.20 GHz)CPU to accelerate everyday home theater and home office tasks., 【Revolutionary Intel Iris Xe GPU】 Make every experience more immersive and fun—from binging shows in 4K UHD to playing arcade games, creating content, and multitasking across up to four screens. Connecting at will to any screen, anywhere, is made easy with 10 ports & slots—including 2 Thunderbolt 3 ports and an ultra-fast Ethernet port—plus support for Intel WiFi 6. For work, study, play, look no further than powerful and innovative mini PCs built with Intel NUC 11 Performance Mini pc., 【Other Features & Technology】Two Thunderbolt 3 ports, HDMI 2.0b port, Mini DisplayPort 1.4 port, 3.5mm front stereo headset jack, Intel Ethernet Controller i225-V, Intel Wi-Fi 6 and Bluetooth 5,Three USB 3.1 Gen2 port, SDXC slot with UHS-II support, Beam-forming, far-field, quad-mic array, with Alexa support,Quad display, and 4K support, Front consumer infrared port, Kensington Lock Ready, 3-Year Limited Wa-rranty., 【Memory & Storage】Dual-channel DDR4 SODIMM slots,64GB Max, M.2 22x80 key M slot,2.5"" 7 mm SATA drive bay., 【3-Year Global Warranty from Intel & GEEK+】 We are the Intel NUC Authorised Agent on Amazon. All products sold from GEEK+ are will automatically receive a 3-year free Warranty Service from Intel, You can go directly to the local Intel NUC offline after-sales location if any issue with the NUC Barebone part, or send us a message for help. Warm Tips: To ensure your privacy and security, please remove the Memory and SSD before aftermarket. Three-year warranty on RAM, SSD, OS provided by GEEK+!",379,GEEK+,"Electronics, Computers & Accessories, Computers & Tablets, Desktops, Minis",2.4 GHz core_i5,SSD,Intel Iris Xe Graphics,Windows 10 Pro,3.1 pounds,4.6 x 4.4 x 2 inches,Black,4,64 GB,2.5 Inches,64 GB,Core i5
"Intel Core i7-3770 Processor 3.4GHz 5.0GT/s 8MB LGA 1155 CPU, OEM",1,1,,159,Intel,,,,,,1 pounds,,,,,,,
Intel Core i5-460M SLBZW Mobile CPU Processor Socket G1 PGA988 2.53Ghz 3MB 2.5 GT/s,5,2,"Intel, 2.53Ghz, 3MB, PGA 988A / Socket G1",32,Intel,"Electronics, Computers & Accessories, Computer Components, Internal Components, CPU Processors",,,,,,,,,,,,
Intel Core i9-9900K Desktop Processor 8 Cores up to 5.0GHz Unlocked LGA1151 300 Series 95W (BX806849900K),4.8,1818,"8 Cores/ 16 Threads, Up to 5.0 GHz Unlocked, Compatible with Intel 300 Series chipset based motherboards, Supports Intel Turbo Boost Technology, Supports Intel Optane Memory, no thermal solution included",358.5,Intel,"Electronics, Computers & Accessories, Computer Components, Internal Components, CPU Processors",3.6 GHz core_i9,,,,2.89 ounces,2.91 x 4.41 x 4.61 inches,,1,,,,Core i9
Intel Core i9-7900X X-Series Processor 10 Cores up to 4.3 GHz Turbo Unlocked LGA2066 X299 Series 140W,4.4,540,"Socket LGA 2066, Compatibale with Intel X299 Chipset, 10 Cores/20 Threads, Intel Turbo Boost Max Technology 3.0, Intel OptaneTM memory ready and support for Intel OptaneTM SSDs",449.39,Intel,"Electronics, Computers & Accessories, Computer Components, Internal Components, CPU Processors",4.3 GHz core_i7,,,,0.986 ounces,3.94 x 4.33 x 1.57 inches,,10,,,,Core i7
Intel Core i5-520M SLBNB SLBU3 Mobile CPU Processor Socket G1 PGA988 2.4Ghz 3MB 2.5 GT/s,5,4,"Intel Core i5-520M CPU Processor, Model: SLBNB, Socket: Socket G1 (rPGA988A), Cores: 2, Frequency: 2.4 GHz",26.03,Intel,"Electronics, Computers & Accessories, Computer Components, Internal Components, CPU Processors",,,,,0.352 ounces,5.9 x 2.9 x 0.2 inches,,,,,,Core i5
Intel Thermal Solution Xts100H - Processor Cooler - ( Socket 1156 ) - Aluminium And Copper - 95 Mm,4.6,8,"4-pin Pulse Width Modulation (PWM) Fan Control, Active Heat Pipe Solution for Performance-Based Platforms, Supports Intel Processors with the LGA1156 LGA1155 LGA1151 LGA1150 Socket, Robust Design Meets Intel's Stringent Shock and Drop Testing, Selectable Fan Speed Control Modes",39.99,Intel,"Electronics, Computers & Accessories, Computer Components, Internal Components, Fans & Cooling",,,,,1.81 pounds,7.76 x 7.68 x 6.22 inches,,,,,,
Intel Core i3-2120 Dual-Core Processor 3.3 GHz 3 MB Cache LGA 1155 - BX80623I32120,4.2,217,"Process Type: Intel Core i3 Processor i3-2120 Frequency: 3.3 GHz DMI: 5 GT/s, Intel Smart Cache: 3 MB Process: 32 nm Socket: LGA1155, Power Consumption: 65 W Max Memory Bandwidth: 21 GB/s Graphics Base Frequency: 850 MHz, Graphics Max Dynamic Frequency: 1.1 GHz This processor is a Dual Core Processor, This processor supports Hyper-Threading Technology This processor supports Intel Virtualization Technology (VT-x). Has 2 cores, 4 threads.",52.28,Intel,"Electronics, Computers & Accessories, Computer Components, Internal Components, CPU Processors",,,,,9.6 ounces,4.57 x 4.57 x 3.39 inches,,,,,,Core i3
"Intel Core i5-4590 BX80646I54590 Processor (6M Cache, 3.3 GHz)",4.5,338,"Compatible with Z87 and Z97 motherboards. Z87 motherboard users may need to apply a BIOS update for compatibility., LGA 1150, Intel Rapid Storage Technology, Quick Sync Video enabling faster video conversion, Intel Device Protection with Boot Guard, Intel IPT with PKI, Intel Turbo boost technology",102.53,Intel,"Electronics, Computers & Accessories, Computer Components, Internal Components, CPU Processors",3.3 GHz core_i5,,,,13.3 ounces,4.6 x 3.4 x 4.6 inches,,4,,,,Core i5
Intel Core i5-2500 Quad-Core Processor 3.3 GHz 6 MB Cache LGA 1155 - BX80623I52500 (Renewed),4.3,87,"This Certified Refurbished product is tested and certified to look and work like new. The refurbishing process includes functionality testing, basic cleaning, inspection, and repackaging. The product ships with all relevant accessories, a minimum 90-day warranty, and may arrive in a generic box. Only select sellers who maintain a high performance bar may offer Certified Refurbished products on Amazon.com, All Core i5 processors have Intel Turbo Boost Technology, 6 MB Intel Smart Cache is dynamically shared to each processor core, based on workload, Quad-core processor delivers four-way multicore processing via parallelism resulting in more efficient use of processor, Specs: Quad-core 3.3 GHz, 6M Cache, Intel HD Graphics 2000, 95 watt TDP, Dual-channel DDR3 memory support, socket LGA1155",36.43,Amazon Renewed,"Electronics, Computers & Accessories, Computer Components, Internal Components, CPU Processors",3.3 GHz core_i5,,,,3.2 ounces,4.5 x 4 x 3.2 inches,,4,,,,Core i5
